NAME,A (au),PER (days),ECC,STAR,RSTAR (Rsun),MSTAR (Msun),MASS (Mjup)
KOI 2364.01,0.0552,5.24242029,0,KOI 2364,1.829,0.813,0.049855804
KOI 2367.01,0.0771,6.89213244,0,KOI 2367,1.446,1.286,0.008914059
KOI 2216.01,0.1467,23.34036251,0,KOI 2216,0.892,0.773,0.017059483
KOI 2217.01,0.214,37.8034121,0,KOI 2217,0.819,0.912,0.027095129
KOI 2293.01,0.1182,15.03366411,0,KOI 2293,0.891,0.972,0.012820258
KOI 2295.01,0.1178,16.2908527,0,KOI 2295,0.797,0.822,0.000318741
KOI 2219.01,0.0435,3.757294695,0,KOI 2219,0.716,0.807,0.006500393
KOI 2297.01,0.055,4.64495172,0,KOI 2297,1.129,1.021,0.009594494
KOI 2298.01,0.1037,16.6671415,0,KOI 2298,0.525,0.534,0.000890697
KOI 2299.01,0.1337,16.48686712,0,KOI 2299,1.071,1.173,1
KOI 2222.01,0.2837,34.135676,0,KOI 2222,5.555,2.607,1
KOI 2305.01,0.1964,31.0325991,0,KOI 2305,0.931,1.047,0.022172589
KOI 221.02,0.0614,5.89661966,0,KOI 221,1.087,0.888,0.007447214
KOI 2150.01,0.1383,18.5084526,0,KOI 2150,0.938,1.028,1
KOI 2226.01,0.0784,8.46354384,0,KOI 2226,0.887,0.896,0.020438317
KOI 2310.01,0.1244,16.4581861,0,KOI 2310,0.884,0.946,0.013688102
KOI 2081.01,0.0758,6.2141496,0,KOI 2081,3.152,1.501,0.062593254
KOI 2082.01,0.197,31.5888979,0,KOI 2082,1.367,1.02,0.021484309
KOI 2154.01,0.1028,11.92979348,0,KOI 2154,0.921,1.016,0.01945693
KOI 227.01,0.1047,17.65737838,0,KOI 227,0.47,0.49,0.019696433
KOI 2229.01,0.1134,14.83340944,0,KOI 2229,0.904,0.882,0.020822784
KOI 2315.01,0.1416,22.1334224,0,KOI 2315,0.702,0.782,0.01324626
KOI 2083.01,0.0761,7.72085047,0,KOI 2083,1.177,0.985,0.020693606
KOI 2084.01,0.0488,4.19577385,0,KOI 2084,1.005,0.878,0.028377353
KOI 2158.01,0.0592,4.5620407,0,KOI 2158,2.506,1.33,0.02488663
KOI 2159.01,0.0746,7.5966998,0,KOI 2159,1.091,0.955,0.008264895
KOI 2319.01,0.1528,21.1033014,0,KOI 2319,1.126,1.068,0.011878609
KOI 2324.01,0.0222,1.204686597,0,KOI 2324,1,1,0.011813753
